ID,Date,Total Loss
674,2/27/2014 0:00,2000
675,6/8/2008 0:00,39700
676,1/2/2012 0:00,30700
677,9/26/2011 0:00,35000
678,4/21/2015 0:00,564450
679,10/15/2005 0:00,28900
680,6/21/2006 0:00,32500
681,9/12/2006 0:00,8600
682,1/22/2013 0:00,4500
683,7/30/2008 0:00,1000
684,12/10/2014 0:00,26100
685,11/7/2015 0:00,500
686,2/21/2011 0:00,3000
687,11/4/2013 0:00,49830
688,4/5/2009 0:00,1000
689,5/8/2008 0:00,2200
690,8/16/2015 0:00,1000
691,1/26/2008 0:00,339200
692,9/9/2011 0:00,42500
693,5/15/2012 0:00,0
694,12/12/2016 0:00,12000
695,2/5/2005 0:00,65100
696,12/24/2006 0:00,0
697,4/2/2014 0:00,0
698,9/3/2016 0:00,4510
699,12/18/2011 0:00,3000
700,10/22/2009 0:00,6000
701,8/19/2010 0:00,1500
702,8/24/2005 0:00,3000
703,10/31/2011 0:00,1500
704,7/6/2012 0:00,850
705,4/3/2007 0:00,1865950
706,5/24/2014 0:00,2000
707,7/12/2007 0:00,500
708,5/16/2005 0:00,5890
709,12/13/2009 0:00,12100
710,7/18/2010 0:00,0
711,10/21/2015 0:00,450
712,10/3/2007 0:00,5525
713,3/17/2008 0:00,96540
714,6/2/2005 0:00,2500
715,9/5/2010 0:00,8000
716,2/18/2016 0:00,0
717,1/23/2006 0:00,1500
718,11/2/2006 0:00,17000
719,12/29/2015 0:00,3550
720,12/21/2006 0:00,2000
721,5/2/2013 0:00,8500
722,6/20/2013 0:00,7500
723,12/5/2005 0:00,800
724,7/21/2005 0:00,0
725,9/20/2016 0:00,1000
726,6/18/2011 0:00,7870
727,8/13/2007 0:00,37150
728,1/3/2011 0:00,8600
729,11/20/2014 0:00,64500
730,1/20/2011 0:00,12800
731,3/10/2011 0:00,3000
732,9/25/2010 0:00,37600
733,2/22/2005 0:00,1000
734,4/12/2005 0:00,27500
735,11/21/2007 0:00,99000
736,11/18/2005 0:00,43200
737,9/27/2012 0:00,0
738,8/2/2016 0:00,1200
739,8/6/2011 0:00,38100
740,4/25/2009 0:00,500
741,11/17/2012 0:00,241000
742,8/10/2005 0:00,28500
743,4/17/2007 0:00,122700
744,4/24/2016 0:00,0
745,1/5/2013 0:00,0
746,6/12/2016 0:00,60500
747,8/9/2012 0:00,1500
748,5/2/2005 0:00,34500
749,8/3/2009 0:00,2900
750,5/25/2015 0:00,1050
751,6/27/2009 0:00,15500
752,12/14/2010 0:00,0
753,1/4/2005 0:00,0
754,7/13/2015 0:00,1700
755,2/15/2008 0:00,100
756,1/26/2014 0:00,0
757,6/25/2007 0:00,8100
758,1/22/2012 0:00,444000
759,10/29/2005 0:00,6000
760,11/6/2014 0:00,1600
761,9/18/2014 0:00,0
762,8/12/2014 0:00,3400
763,4/9/2010 0:00,24500
764,5/28/2010 0:00,500
765,12/11/2008 0:00,4800
766,8/4/2005 0:00,3500
767,4/23/2007 0:00,20500
768,3/3/2010 0:00,50000
769,3/10/2014 0:00,200
770,12/1/2006 0:00,18600
771,8/1/2007 0:00,25000
772,2/28/2012 0:00,1000
773,11/30/2013 0:00,1500
774,6/7/2012 0:00,4500
775,7/11/2006 0:00,0
776,8/23/2006 0:00,3410
777,2/28/2005 0:00,36500
778,6/19/2007 0:00,0
779,1/16/2012 0:00,63000
780,6/8/2005 0:00,800
781,8/14/2016 0:00,4550
782,9/15/2012 0:00,2000
783,9/16/2005 0:00,0
784,3/11/2007 0:00,11000
785,4/15/2010 0:00,7000
786,10/8/2011 0:00,1250
787,12/10/2006 0:00,9500
788,8/28/2007 0:00,1100
789,7/25/2008 0:00,128300
790,11/2/2015 0:00,6100
791,12/5/2014 0:00,1700
792,11/17/2006 0:00,112800
793,1/30/2014 0:00,500
794,12/28/2014 0:00,0
795,2/27/2006 0:00,16300
796,2/22/2014 0:00,47450
797,7/9/2012 0:00,1500
798,3/27/2013 0:00,500
799,4/1/2005 0:00,200
800,8/12/2011 0:00,4000
801,2/4/2006 0:00,700
802,9/22/2012 0:00,3900
803,4/19/2013 0:00,25000
804,10/26/2011 0:00,8300
805,12/13/2011 0:00,0
806,12/2/2009 0:00,1500
807,8/30/2012 0:00,200
808,2/23/2007 0:00,40500
809,5/11/2008 0:00,1000
810,3/12/2010 0:00,5000
811,6/2/2014 0:00,4000
812,9/4/2011 0:00,25000
813,3/24/2008 0:00,300
814,5/10/2014 0:00,0
815,7/2/2015 0:00,160410
816,12/24/2015 0:00,32850
817,1/31/2007 0:00,0
818,4/4/2010 0:00,17000
819,11/2/2008 0:00,28000
820,7/2/2008 0:00,126000
821,12/25/2009 0:00,5000
822,2/10/2016 0:00,12000
823,10/10/2015 0:00,0
824,9/24/2006 0:00,0
825,9/7/2009 0:00,5000
826,11/19/2005 0:00,0
827,10/28/2016 0:00,13875
828,3/31/2012 0:00,0
829,8/27/2014 0:00,6750
830,2/3/2012 0:00,61500
831,6/20/2010 0:00,25500
832,7/7/2007 0:00,7500
833,7/10/2005 0:00,21250
834,11/14/2013 0:00,3800
835,7/28/2013 0:00,20650
836,1/15/2011 0:00,200
837,7/29/2006 0:00,0
838,10/7/2010 0:00,817000
839,11/5/2013 0:00,3000
840,2/19/2016 0:00,18020
841,3/15/2008 0:00,15000
842,5/29/2016 0:00,100
843,2/19/2009 0:00,1350
844,6/29/2010 0:00,7550
845,12/6/2007 0:00,2300
846,3/15/2015 0:00,4500
847,9/6/2016 0:00,10050
848,5/30/2009 0:00,0
849,6/10/2009 0:00,22500
850,12/22/2011 0:00,0
851,7/9/2011 0:00,3750
852,1/18/2009 0:00,1000
853,1/1/2006 0:00,53500
854,4/10/2013 0:00,13200
855,6/16/2006 0:00,103045
856,11/29/2011 0:00,0
857,3/23/2005 0:00,0
858,8/31/2013 0:00,285000
859,9/26/2010 0:00,23000
860,5/24/2006 0:00,49500
861,8/28/2008 0:00,85000
862,5/19/2014 0:00,17500
863,8/1/2011 0:00,0
864,3/5/2014 0:00,71472
865,2/24/2008 0:00,0
866,12/24/2016 0:00,0
867,4/3/2009 0:00,6000
868,9/16/2009 0:00,99075
869,10/18/2005 0:00,27550
870,7/11/2016 0:00,3000
871,12/14/2014 0:00,9000
872,5/5/2005 0:00,9500
873,9/15/2016 0:00,6250
874,10/9/2014 0:00,500
875,3/24/2015 0:00,15300
876,4/2/2016 0:00,65200
877,8/23/2016 0:00,11850
878,11/1/2014 0:00,5000
879,5/27/2011 0:00,300
880,2/16/2011 0:00,1050
881,8/24/2009 0:00,0
882,5/28/2005 0:00,20500
883,12/1/2016 0:00,2001
884,4/11/2006 0:00,1500
885,3/8/2012 0:00,16000
886,9/19/2014 0:00,5000
